"age","gender","course","year","cgpa","workload_stress","main_stress_factor","multiple_assignments_feeling","exam_stress","stress_situations","performance_worry","reaction_to_workload","pre_exam_feeling","concentration_impact","fear_of_failure","pressure_feeling","confidence_level","stress_emotions","study_regular","study_routine","distraction_type","focus_duration","revision_frequency","procrastination_reason","study_method","performance_impact","stress_relief_activities","help_source","rank_exam_stress","rank_assignment_stress","rank_competition_stress","rank_family_expectation","motivation_level","exam_stress_num","study_regular_num","motivation_num","confidence_num","performance_impact_num"
"18-20","Male","Science","Second Year","8.0 – 8.9","Rarely","Heavy coursework","Calm and confident","Very low","Difficult subjects","Rarely","Make a study plan","Relaxed","Not at all","Rarely","Slightly stressed","Confident","Anxiety, Frustration","Several times a week","I follow a strict study schedule","Social media","30–60 minutes","Weekly","Distractions","Making notes, Using AI tools (e.g., ChatGPT)","Very negatively","Talking with friends, Sleeping","Friends",4,4,4,4,"Motivated",5,4,2,1,4
"21-23","Female","Arts","Third Year","8.0 – 8.9","Always","Expectations from parents/teachers","Slightly pressured","Low","Tight deadlines, Difficult subjects, Lack of preparation","Rarely","Take a break before starting","Relaxed","Moderately","Rarely","Slightly stressed","Confident","Frustration, Determination","Only before exams","I plan but sometimes fail to follow it","Online entertainment","1–2 hours","Only before exams","Lack of motivation","Reading textbooks, Making notes","No effect","Talking with family, Exercise or sports, Sleeping","I handle it alone",4,2,3,1,"Not motivated",2,3,4,1,1
"21-23","Female","Engineering/Technology","First year","7.0 – 7.9","Often","Competition with classmates","Very stressed","Moderate","Competition with classmates, Expectations from family","Often","Take a break before starting","Slightly nervous","Slightly","Often","Emotionally drained","Not very confident","Anxiety, Fear, Lack of motivation","Several times a week","I plan but sometimes fail to follow it","Mobile phone notifications","Less than 30 minutes","Weekly","Poor time management","Group study, Using AI tools (e.g., ChatGPT)","No effect","Exercise or sports, Listening to music, Sleeping","Friends",2,3,2,3,"Neutral",3,4,3,4,1
"21-23","Male","Management","Third Year","7.0 – 7.9","Sometimes","Exams","Slightly pressured","Moderate","Difficult subjects, Lack of preparation","Sometimes","Feel overwhelmed and delay work","Slightly nervous","Moderately","Sometimes","Mentally tired","Neutral","Fear, Determination","Several times a week","I study randomly","Mobile phone notifications","30–60 minutes","Weekly","Distractions","Group study, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Listening to music, Watching movies or entertainment, Social Media","Family",2,3,3,2,"Neutral",3,4,3,2,3
"Above 23","Female","Commerce","Third Year","8.0 – 8.9","Often","Assignments and deadlines","Very stressed","High","Competition with classmates, Expectations from family","Often","Feel overwhelmed and delay work","Slightly nervous","Slightly","Very often","Emotionally drained","Not very confident","Fear, Lack of motivation","Only before exams","I study only during exams","Online entertainment","More than 2 hours","Occasionally","Poor time management","Group study, Using AI tools (e.g., ChatGPT)","Positively (motivates me)","Talking with family, Exercise or sports, Watching movies or entertainment, Sleeping","Online resources",1,1,2,1,"Motivated",1,3,2,4,2
"21-23","Male","Engineering/Technology","Fourth Year","8.0 – 8.9","Rarely","Competition with classmates","Slightly pressured","Moderate","Lack of preparation, Competition with classmates","Rarely","Make a study plan","Slightly nervous","Slightly","Rarely","Slightly stressed","Neutral","Frustration","Several times a week","I plan but sometimes fail to follow it","Mobile phone notifications","Less than 30 minutes","Only before exams","Poor time management","Reading textbooks, Group study","No effect","Exercise or sports, Watching movies or entertainment","Family",4,4,4,4,"Motivated",3,4,2,2,1
"21-23","Female","Other","Fourth Year","8.0 – 8.9","Often","Exams","Calm and confident","Moderate","Lack of preparation, Fear of failing","Rarely","Take a break before starting","Extremely anxious","Strongly","Very often","Emotionally drained","Not confident at all","Determination","Several times a week","I study only during exams","Social media","More than 2 hours","Only before exams","Distractions","Using AI tools (e.g., ChatGPT), ","Positively (motivates me)","Exercise or sports, Social Media","Online resources",1,4,3,2,"Not motivated",3,4,4,3,2
"18-20","Female","Management","Second Year","9.0 and above","Rarely","Assignments and deadlines","Slightly pressured","Moderate","Lack of preparation, Competition with classmates, Fear of failing","Sometimes","Take a break before starting","Anxious","Slightly","Never","Motivated","Neutral","Frustration, Lack of motivation","Daily","I follow a strict study schedule","Social media","Less than 30 minutes","Weekly","Distractions","Making notes, Group study, Watching online lectures","Slightly negatively","Talking with family, Listening to music, Social Media","Family",4,4,4,4,"Neutral",3,1,3,2,3
"21-23","Female","Science","Third Year","7.0 – 7.9","Sometimes","Assignments and deadlines","Stressed","High","Competition with classmates, Expectations from family","Sometimes","Start working immediately","Slightly nervous","Moderately","Sometimes","Mentally tired","Neutral","Frustration, Lack of motivation","Several times a week","I plan but sometimes fail to follow it","Mobile phone notifications","30–60 minutes","Weekly","Poor time management","Group study, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Talking with family, Social Media","Friends",3,2,3,3,"Neutral",1,4,3,2,3
"21-23","Female","Other","Fourth Year","Below 6.0","Often","Exams","Very stressed","High","Difficult subjects, Competition with classmates","Sometimes","Make a study plan","Extremely anxious","Moderately","Very often","Emotionally drained","Very confident","Frustration, Lack of motivation","Several times a week","I study only during exams","Online entertainment","Less than 30 minutes","Occasionally","Too many assignments","Reading textbooks, Watching online lectures","No effect","Talking with family, Listening to music","Friends",1,2,3,2,"Motivated",1,4,2,5,1
"21-23","Female","Engineering/Technology","Third Year","8.0 – 8.9","Sometimes","Assignments and deadlines","Stressed","Moderate","Difficult subjects, Competition with classmates","Sometimes","Make a study plan","Slightly nervous","Moderately","Sometimes","Mentally tired","Neutral","Frustration, Lack of motivation","Several times a week","I plan but sometimes fail to follow it","Mobile phone notifications","30–60 minutes","Weekly","Too many assignments","Making notes, Watching online lectures","No effect","Exercise or sports, Listening to music, Watching movies or entertainment","Family",3,3,3,3,"Neutral",3,4,3,2,1
"Above 23","Male","Science","Second Year","8.0 – 8.9","Sometimes","Expectations from parents/teachers","Slightly pressured","Very High","Expectations from family, Fear of failing","Sometimes","Start working immediately","Extremely anxious","Moderately","Rarely","Motivated","Not confident at all","Frustration, Lack of motivation","Occasionally","I plan but sometimes fail to follow it","Online entertainment","More than 2 hours","Only before exams","Poor time management","Reading textbooks, Group study","Positively (motivates me)","Exercise or sports, Watching movies or entertainment","Online resources",3,1,2,4,"Not motivated",4,2,4,3,2
"Above 23","Male","Engineering/Technology","Third Year","8.0 – 8.9","Often","Assignments and deadlines","Stressed","High","Lack of preparation, Competition with classmates","Often","Take a break before starting","Anxious","Moderately","Often","Mentally tired","Not very confident","Frustration, Fear","Only before exams","I study randomly","Online entertainment","30–60 minutes","Weekly","Poor time management","Using AI tools (e.g., ChatGPT)","No effect","Listening to music, Social Media","Friends",2,3,2,3,"Neutral",1,3,3,4,1
"Above 23","Female","Management","Third Year","8.0 – 8.9","Sometimes","Exams","Slightly pressured","Moderate","Difficult subjects, Competition with classmates","Sometimes","Make a study plan","Slightly nervous","Slightly","Rarely","Slightly stressed","Neutral","Fear, Lack of motivation","Several times a week","I study only during exams","Social media","30–60 minutes","Only before exams","Poor time management","Group study, Using AI tools (e.g., ChatGPT)","Slightly negatively","Exercise or sports, Listening to music, Watching movies or entertainment","Teachers",3,4,3,4,"Neutral",3,4,3,2,3
"Above 23","Female","Management","First year","7.0 – 7.9","Always","Assignments and deadlines","Slightly pressured","Low","Difficult subjects, Competition with classmates","Sometimes","Make a study plan","Relaxed","Not at all","Very often","Slightly stressed","Neutral","Fear, Lack of motivation","Occasionally","I study only during exams","Online entertainment","More than 2 hours","Only before exams","Distractions","Group study, Watching online lectures","No effect","Talking with family, Exercise or sports, Sleeping","Family",3,1,2,4,"Not motivated",2,2,4,2,1
"18-20","Female","Arts","Second Year","7.0 – 7.9","Always","Exams","Stressed","High","Difficult subjects, Lack of preparation","Often","Feel overwhelmed and delay work","Anxious","Moderately","Often","Mentally tired","Neutral","Frustration, Lack of motivation","Only before exams","I plan but sometimes fail to follow it","Mobile phone notifications","Less than 30 minutes","Only before exams","Distractions","Making notes, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Listening to music","Friends",3,3,2,3,"Neutral",1,3,3,2,3
"21-23","Female","Management","Third Year","8.0 – 8.9","Often","Competition with classmates","Stressed","Moderate","Competition with classmates","Often","Make a study plan","Anxious","Moderately","Sometimes","Mentally tired","Not very confident","Frustration, Lack of motivation","Several times a week","I study only during exams","Online entertainment","More than 2 hours","Only before exams","Distractions","Group study, Using AI tools (e.g., ChatGPT)","No effect","Exercise or sports, Listening to music","Friends",2,3,3,3,"Neutral",3,4,3,4,1
"21-23","Male","Other","Second Year","Below 6.0","Often","Heavy coursework","Stressed","Very High","Lack of preparation, Expectations from family","Never","Start working immediately","Slightly nervous","Slightly","Rarely","Emotionally drained","Very confident","Frustration","Occasionally","I plan but sometimes fail to follow it","Social media","Less than 30 minutes","Weekly","Lack of motivation","Group study, Watching online lectures","Slightly negatively","Talking with family, Listening to music","Teachers",3,1,2,4,"Not motivated",4,2,4,5,3
"Above 23","Female","Arts","Fourth Year","9.0 and above","Rarely","Competition with classmates","Stressed","Moderate","Expectations from family","Rarely","Feel overwhelmed and delay work","Extremely anxious","Strongly","Very often","Emotionally drained","Not confident at all","Fear","Occasionally","I study randomly","Social media","1–2 hours","Only before exams","Poor time management","Watching online lectures, Using AI tools (e.g., ChatGPT)","Positively (motivates me)","Talking with family, Listening to music","I handle it alone",3,2,3,2,"Less motivated",3,2,1,3,2
"18-20","Male","Science","Second Year","7.0 – 7.9","Rarely","Exams","Slightly pressured","High","Lack of preparation, Competition with classmates, Expectations from family","Always","Start working immediately","Slightly nervous","Moderately","Rarely","Mentally tired","Not very confident","Determination","Several times a week","I follow a strict study schedule","Social media","30–60 minutes","Only before exams","Poor time management","Making notes, Group study, Using AI tools (e.g., ChatGPT)","Slightly negatively","Watching movies or entertainment, Social Media","I handle it alone",1,1,1,2,"Not motivated",1,4,4,4,3
"18-20","Female","Management","Third Year","6.0 – 6.9","Often","Expectations from parents/teachers","Stressed","High","Competition with classmates","Sometimes","Take a break before starting","Slightly nervous","Moderately","Rarely","Mentally tired","Neutral","Fear","Only before exams","I plan but sometimes fail to follow it","Mobile phone notifications","Less than 30 minutes","Only before exams","Too many assignments","Group study, Using AI tools (e.g., ChatGPT)","No effect","Talking with friends, Exercise or sports","I handle it alone",2,2,2,2,"Neutral",1,3,3,2,1
"21-23","Male","Commerce","Second Year","6.0 – 6.9","Always","Competition with classmates","Slightly pressured","Low","Difficult subjects, Expectations from family","Always","Feel overwhelmed and delay work","Extremely anxious","Strongly","Very often","Mentally tired","Confident","Anxiety, Frustration","Only before exams","I study only during exams","Online entertainment","1–2 hours","Weekly","Lack of motivation","Making notes, Using AI tools (e.g., ChatGPT)","Very negatively","Listening to music, Social Media","Family",4,3,2,4,"Not motivated",2,3,4,1,4
"21-23","Male","Commerce","Second Year","6.0 – 6.9","Often","Competition with classmates","Very stressed","Very High","Difficult subjects, Expectations from family","Sometimes","Feel overwhelmed and delay work","Anxious","Moderately","Sometimes","Slightly stressed","Not confident at all","Fear, Lack of motivation","Only before exams","I follow a strict study schedule","Online entertainment","30–60 minutes","Occasionally","Distractions","Group study, Using AI tools (e.g., ChatGPT)","Very negatively","Talking with friends, Social Media","I handle it alone",3,2,1,4,"Not motivated",4,3,4,3,4
"Above 23","Male","Arts","Fourth Year","7.0 – 7.9","Often","Competition with classmates","Very stressed","Moderate","Lack of preparation, Fear of failing","Often","Take a break before starting","Extremely anxious","Moderately","Very often","Emotionally drained","Not confident at all","Frustration, Determination","Daily","I study only during exams","Online entertainment","1–2 hours","Weekly","Distractions","Using AI tools (e.g., ChatGPT)","Very negatively","Talking with family, Listening to music","Family",4,3,4,3,"Neutral",3,1,3,3,4
"21-23","Female","Science","Third Year","9.0 and above","Always","Competition with classmates","Very stressed","Very High","Competition with classmates, Fear of failing","Always","Feel overwhelmed and delay work","Extremely anxious","Strongly","Very often","Emotionally drained","Not confident at all","Lack of motivation","Only before exams","I study only during exams","Online entertainment","30–60 minutes","Only before exams","Distractions","Using AI tools (e.g., ChatGPT)","Very negatively","Social Media","I handle it alone",1,2,1,2,"Less motivated",4,3,1,3,4
"18-20","Female","Engineering/Technology","Third Year","8.0 – 8.9","Often","Expectations from parents/teachers","Calm and confident","High","Lack of preparation, Fear of failing","Often","Take a break before starting","Anxious","Moderately","Very often","Emotionally drained","Not confident at all","Lack of motivation, Determination","Only before exams","I plan but sometimes fail to follow it","Social media","Less than 30 minutes","Weekly","Too many assignments","Making notes, Watching online lectures, Using AI tools (e.g., ChatGPT)","Slightly negatively","Exercise or sports, Listening to music","Online resources",1,2,3,4,"Less motivated",1,3,1,3,3
"Above 23","Female","Management","Second Year","8.0 – 8.9","Always","Competition with classmates","Stressed","High","Tight deadlines, Fear of failing","Often","Take a break before starting","Relaxed","Slightly","Sometimes","Mentally tired","Confident","Lack of motivation","Several times a week","I follow a strict study schedule","Social media","1–2 hours","Only before exams","Poor time management","Watching online lectures, Using AI tools (e.g., ChatGPT)","Very negatively","Talking with friends, Sleeping","I handle it alone",3,1,2,4,"Not motivated",1,4,4,1,4
"18-20","Female","Arts","First year","8.0 – 8.9","Rarely","Exams","Slightly pressured","Moderate","Difficult subjects, Lack of preparation","Sometimes","Feel overwhelmed and delay work","Relaxed","Slightly","Rarely","Slightly stressed","Neutral","Anxiety, Frustration","Only before exams","I study only during exams","Mobile phone notifications","More than 2 hours","Only before exams","Lack of motivation","Group study, Using AI tools (e.g., ChatGPT)","No effect","Listening to music, Watching movies or entertainment","Friends",3,3,3,3,"Neutral",3,3,3,2,1
"Above 23","Male","Science","First year","7.0 – 7.9","Often","Expectations from parents/teachers","Slightly pressured","Low","Lack of preparation","Sometimes","Feel overwhelmed and delay work","Extremely anxious","Strongly","Sometimes","Emotionally drained","Not confident at all","Frustration","Only before exams","I study only during exams","Online entertainment","30–60 minutes","Only before exams","Distractions","Group study, Using AI tools (e.g., ChatGPT)","Very negatively","Watching movies or entertainment","Friends",1,3,3,4,"Very motivated",2,3,5,3,4
"Above 23","Female","Commerce","Second Year","7.0 – 7.9","Rarely","Expectations from parents/teachers","Very stressed","Very High","Competition with classmates, Fear of failing","Sometimes","Take a break before starting","Slightly nervous","Moderately","Often","Mentally tired","Not very confident","Determination","Daily","I study randomly","Online entertainment","More than 2 hours","Only before exams","Distractions","Watching online lectures, Using AI tools (e.g., ChatGPT)","Positively (motivates me)","Listening to music, Watching movies or entertainment","Friends",3,4,3,4,"Not motivated",4,1,4,4,2
"21-23","Female","Commerce","Second Year","8.0 – 8.9","Always","Expectations from parents/teachers","Very stressed","Very High","Competition with classmates","Always","Make a study plan","Extremely anxious","Strongly","Very often","Emotionally drained","Not very confident","Fear, Determination","Occasionally","I study only during exams","Online entertainment","1–2 hours","Only before exams","Lack of motivation","Reading textbooks","Very negatively","Talking with family","Online resources",2,1,2,2,"Not motivated",4,2,4,4,4
"Above 23","Female","Management","Third Year","9.0 and above","Sometimes","Competition with classmates","Calm and confident","Low","Competition with classmates","Always","Take a break before starting","Extremely anxious","Strongly","Very often","Emotionally drained","Not confident at all","Lack of motivation","Several times a week","I study only during exams","Mobile phone notifications","30–60 minutes","Weekly","Distractions","Watching online lectures, Using AI tools (e.g., ChatGPT)","Positively (motivates me)","Listening to music, Social Media","Family",2,3,2,3,"Neutral",2,4,3,3,2
"21-23","Male","Engineering/Technology","First year","7.0 – 7.9","Sometimes","Exams","Calm and confident","Moderate","Difficult subjects","Sometimes","Start working immediately","Relaxed","Moderately","Sometimes","Slightly stressed","Not very confident","Frustration","Daily","I study only during exams","Mobile phone notifications","Less than 30 minutes","Weekly","Lack of motivation","Making notes","Very negatively","Talking with family","Online resources",1,1,3,2,"Motivated",3,1,2,4,4
"Below 18","Male","Arts","First year","8.0 – 8.9","Never","Exams","Calm and confident","Very low","Difficult subjects","Always","Take a break before starting","Slightly nervous","Slightly","Never","Motivated","Confident","Fear","Only before exams","I plan but sometimes fail to follow it","Social media","1–2 hours","Weekly","Lack of motivation","Watching online lectures","Positively (motivates me)","Watching movies or entertainment","Friends",1,3,2,3,"Not motivated",5,3,4,1,2
"Below 18","Male","Commerce","First year","8.0 – 8.9","Sometimes","Heavy coursework","Slightly pressured","High","Tight deadlines","Sometimes","Take a break before starting","Anxious","Not at all","Rarely","Motivated","Neutral","Lack of motivation","Several times a week","I study only during exams","Friends & Family","Less than 30 minutes","Only before exams","Distractions","Making notes","Very negatively","Talking with family","Friends",2,2,1,2,"Less motivated",1,4,1,2,4
"21-23","Female","Engineering/Technology","First year","7.0 – 7.9","Sometimes","Heavy coursework","Slightly pressured","Moderate","Competition with classmates","Often","Start working immediately","Relaxed","Not at all","Never","Slightly stressed","Not very confident","Frustration","Daily","I follow a strict study schedule","Friends & Family","30–60 minutes","After every class","Poor time management","Watching online lectures","Slightly negatively","Exercise or sports","Friends",1,4,2,3,"Neutral",3,1,3,4,3
"21-23","Male","Commerce","Second Year","Below 6.0","Sometimes","Heavy coursework","Stressed","Very low","Lack of preparation","Sometimes","Start working immediately","Extremely anxious","Moderately","Rarely","Motivated","Neutral","Fear","Daily","I study randomly","Social media","1–2 hours","Occasionally","Too many assignments","Reading textbooks","No effect","Talking with family","Friends",1,2,2,2,"Very motivated",5,1,5,2,1
"18-20","Female","Engineering/Technology","First year","Below 6.0","Sometimes","Assignments and deadlines","Calm and confident","Very low","Competition with classmates","Sometimes","Start working immediately","Anxious","Not at all","Rarely","Slightly stressed","Neutral","Anxiety","Several times a week","I follow a strict study schedule","Social media","1–2 hours","Weekly","Too many assignments","Reading textbooks","No effect","Talking with friends","I handle it alone",1,2,2,1,"Neutral",5,4,3,2,1
"Below 18","Male","Engineering/Technology","Third Year","6.0 – 6.9","Sometimes","Heavy coursework","Stressed","Very low","Lack of preparation","Never","Feel overwhelmed and delay work","Slightly nervous","Not at all","Sometimes","Slightly stressed","Confident","Anxiety","Occasionally","I follow a strict study schedule","Mobile phone notifications","More than 2 hours","Occasionally","Lack of motivation","Group study","Very negatively","Exercise or sports","Friends",1,2,4,4,"Very motivated",5,2,5,1,4
"21-23","Male","Commerce","Second Year","7.0 – 7.9","Always","Expectations from parents/teachers","Slightly pressured","Very low","Tight deadlines","Never","Make a study plan","Relaxed","Slightly","Sometimes","Slightly stressed","Confident","Anxiety","Occasionally","I plan but sometimes fail to follow it","Friends & Family","30–60 minutes","Weekly","Lack of motivation","Group study","Very negatively","Talking with friends","Friends",2,3,2,2,"Motivated",5,2,2,1,4
"Below 18","Female","Science","Second Year","Below 6.0","Sometimes","Exams","Calm and confident","Very low","Competition with classmates","Never","Make a study plan","Slightly nervous","Not at all","Sometimes","Slightly stressed","Confident","Anxiety","Several times a week","I plan but sometimes fail to follow it","Social media","Less than 30 minutes","After every class","Lack of motivation","Making notes","Very negatively","Exercise or sports, Social Media","Teachers",1,1,2,2,"Very motivated",5,4,5,1,4
"18-20","Male","Management","Second Year","7.0 – 7.9","Rarely","Assignments and deadlines","Slightly pressured","Moderate","Tight deadlines","Sometimes","Make a study plan","Anxious","Slightly","Sometimes","Motivated","Confident","Fear","Daily","I plan but sometimes fail to follow it","Online entertainment","30–60 minutes","After every class","Too many assignments","Reading textbooks","Slightly negatively","Exercise or sports","Family",2,1,4,2,"Neutral",3,1,3,1,3
"18-20","Female","Engineering/Technology","First year","8.0 – 8.9","Often","Heavy coursework","Calm and confident","Very High","Lack of preparation","Rarely","Start working immediately","Slightly nervous","Not at all","Sometimes","Motivated","Not confident at all","Fear","Daily","I study randomly","Friends & Family","Less than 30 minutes","Occasionally","Too many assignments","Group study","Slightly negatively","Talking with friends","Teachers",2,1,1,1,"Very motivated",4,1,5,3,3
